cluster_id,L,a,b,R,G,B,HEX,global_proportion,colour_record_count,garment_count,chroma,hue_angle_deg,is_neutral,sort_group,palette_index
49,67.61712944000303,-31.279550882764326,-16.74786869826038,39,181,194,#27B5C2,0.0007744726749760307,9,9,35.48100068151422,208.16573137705868,False,1,309
82,40.836442195944535,-19.285768788778242,-10.45745820582134,34,106,113,#226A71,0.0008306001692490656,12,12,21.93853481663516,208.46818931588768,False,1,310
264,82.71111173549798,-28.718816815627356,-19.148836106225186,101,222,241,#65DEF1,0.0004288111217641419,4,4,34.51736321784493,213.69415322536832,False,1,311
159,55.29409992325134,-21.533281751285767,-16.22229914685729,53,144,160,#3590A0,0.0009475071907957814,8,8,26.96006699899656,216.9928841572788,False,1,312
372,40.60475665369041,-7.037523321070525,-5.332016822811607,78,100,104,#4E6468,0.001397919042639692,22,22,8.82933394392564,217.14958208197743,False,1,313
63,54.98599167699086,-8.369945276996823,-6.355714062793698,109,136,142,#6D888E,0.0011341958385811149,15,15,10.509571122929565,217.21120282065405,False,1,314
263,71.26172883037049,-26.915793711890245,-27.125793181933982,33,190,223,#21BEDF,0.0008592842791977579,6,6,38.213461069236935,225.2226437723921,False,1,315
430,76.82616104762297,-18.969316420996556,-20.862935242489407,116,201,227,#74C9E3,0.00036843240651965477,6,6,28.197464999751237,227.72178291122094,False,1,316
168,29.546070127691415,-8.784953082095466,-10.894485928400245,40,74,86,#284A56,0.0015691754554170657,22,22,13.99518575434887,231.11844391523758,False,1,317
233,20.079612093616536,-5.1561577549004,-6.687172434562468,33,51,58,#21333A,0.002013292382918042,19,19,8.444183676530944,232.36590779934699,False,1,318
96,58.58831451764157,-18.1976555498364,-25.2854539956345,50,152,184,#3298B8,0.0014117319701960692,16,16,31.152991048627104,234.25786111902204,False,1,319
240,47.41696283386605,-10.034659047848535,-14.79782742284374,74,118,137,#4A7689,0.0009529721955896451,16,16,17.879319859626506,235.8581351818403,False,1,320
373,41.83485292937816,-12.389344333124647,-21.20691107775822,35,106,133,#236A85,0.000616747477262061,10,9,24.56071925788559,239.70598994521444,False,1,321
166,65.82580891369341,-5.0820683281863825,-8.843470017525952,141,163,175,#8DA3AF,0.002473150860771916,34,34,10.199724527811307,240.11535157774355,False,1,322
